FirstNm,LastNm,NRIC,Username,Password,Acc_Status,Role,DOB,Race,Rel,POB,Email,HomeAdd,Gender,Marital,Hp,BankNm,AccNum,EPF,TIN,Fm_Nm,Fm_NRIC,Relation,Fm_hp,Work_exp,DateJoined,DateResigned,CurrentPosition,Department,MonthlyGrossSalary,AnnualLeave,MedLeave,MaternityLeave,UnpaidLeave,NewPosition,EffectiveDate,HistoryofPositionChange,SalaryIncrement,SalaryIncrementHistory
Hassan,Bin,910707123456,hassan.bin,H@s1,Locked,Employee,1991-07-07,Malay,Muslim,Johor Bahru,hassan.bin@gmail.com,89 Jalan Kebun, Male,Married,017-7654321,Maybank,12345678,23456789,910707123456,Halimah Binti,900505028901,Mother,014-6789012,4 years in Finance,2018-11-01,,Employee,Accounting,2800,,,,,,,,,
Maya,Chen,930606144567,maya.chen,Ch3n!93,Unlocked,Human Resource Officer,1993-06-06,Chinese,Buddhist,Shah Alam,mayachen@gmail.com,12 Jalan Subang,Female,Single,019-2345678,CIMB,56789012,67890123,930606144567,Li Chen,920505037890,Father,017-8765432,3 years in Recruitment,2020-05-15,,HR Officer,HR,2900,,,,,,,,,
Farah,Abdullah,890909156789,farah.abdullah,F@rah89,Unlocked,Payroll Officer,1989-09-09,Malay,Muslim,Kuching,farahabdullah@gmail.com,23 Jalan Bako,Female,Married,014-5678901,RHB,67890123,78901234,890909156789,Ahmed Abdullah,930606144567,Husband,019-1234567,6 years in Payroll,2017-03-01,,Payroll Officer,Payroll,3100,,,,,,,,,
Rashid,Ali,920505137890,rashid.ali,R@sh1d92,Locked,System Administrator,1992-05-05,Malay,Muslim,Putrajaya,rashidali@gmail.com,45 Jalan Pahlawan,Male,Single,017-3456789,Maybank,89012345,67890123,920505137890,Farah Ali,940909128901,Wife,014-6789012,4 years in IT Operations,2019-04-01,,System Administrator,IT,3400,,,,,,,,,
Siti,Fatimah,930707045678,siti.fatimah,SiTi93,Unlocked,Junior Employee,1993-07-07,Malay,Muslim,Alor Setar,sitifatimah@gmail.com,56 Jalan Tunku,Female,Married,017-4567890,RHB,12345678,23456789,930707045678,Ahmad Fatimah,920505037890,Father,019-8765432,2 years in Admin Support,2021-01-01,,Junior Employee,Admin,2500,,,,,,,,,
Jamal,Azad,880505167890,jamal.azad,J@maL88,Unlocked,Department Manager,1988-05-05,Malay,Muslim,Seremban,jamalazad@gmail.com,67 Jalan Keluang,Male,Married,014-5678901,CIMB,67890123,78901234,880505167890,Zainab Azad,900606037890,Wife,012-3456789,7 years in Sales Management,2016-06-01,,Department Manager,Sales,5000,,,,,,,,,
Nora,Ishak,940606145678,nora.ishak,Nor@94,Locked,Employee,1994-06-06,Malay,Muslim,Kuala Lumpur,noraishak@gmail.com,98 Jalan Wilayah,Female,Single,019-8765432,Public Bank,56789012,67890123,940606145678,Ali Ishak,910505034567,Father,017-1234567,5 years in Customer Service,2018-10-01,,Employee,Customer Service,2700,,,,,,,,,
Mariam,Binti,920909128901,mariam.binti,M@riam92,Unlocked,Human Resource Officer,1992-09-09,Malay,Muslim,Malacca,mariambinti@gmail.com,23 Jalan Merdeka,Female,Married,014-6789012,RHB,89012345,67890123,920909128901,Abdul Rahman,930606144567,Husband,019-3456789,6 years in Recruitment,2017-06-01,,HR Officer,HR,3100,,,,,,,,,
Nabilah,Hassan,880808067890,nabilah.hassan,N@biL@88,Locked,System Administrator,1988-08-08,Malay,Muslim,Klang,nabilahhassan@gmail.com,89 Jalan Anggerik,Female,Married,017-8765432,Maybank,12345678,34567890,880808067890,Aziz Hassan,940909128901,Husband,012-3456789,4 years in IT Support,2019-02-01,,System Administrator,IT,3300,,,,,,,,,
Mikael,Chan,920808055432,mikael.chan,M!k@el92,Unlocked,Payroll Officer,1992-08-08,Chinese,Christian,Ipoh,mikaelchan@gmail.com,34 Jalan Raja,Female,Single,014-6789012,CIMB,67890123,45678901,920808055432,Helen Chan,880808067890,Mother,017-6543210,3 years in Payroll,2020-09-01,,Payroll Officer,Payroll,2900,,,,,,,,,
Diana,Lee,930101056789,diana.lee,D!@na93,Unlocked,Employee,1993-01-01,Chinese,Christian,Kuala Lumpur,dianalee@gmail.com,45 Jalan Mahkota,Female,Single,017-3456789,Public Bank,23456789,67890123,930101056789,Tom Lee,890909167890,Father,014-6789012,2 years in Sales,2021-05-01,,Junior Employee,Sales,2600,,,,,,,,,
Amir,Mustafa,940707067890,amir.mustafa,Am1r94,Locked,Human Resource Officer,1994-07-07,Malay,Muslim,Kota Kinabalu,amirmustafa@gmail.com,23 Jalan Pelabuhan,Male,Single,019-4567890,Maybank,56789012,67890123,940707067890,Farah Mustafa,920808055432,Wife,017-1234567,4 years in HR,2019-03-01,,HR Officer,HR,3200,,,,,,,,,
